"nomor_rencana_produksi";"id_user";"keterangan";"tanggal_rencana";"tanggal_input";"status";"created_at";"created_by";"updated_at";"updated_by"
"WOS2204-0007";"3";NULL;"2022-04-09";"2022-04-08";"1";"2022-04-08 14:49:21";"3";"2022-04-08 14:49:21";"3"
"WOS2204-0008";"3";NULL;"2022-04-11";"2022-04-09";"1";"2022-04-09 11:31:07";"3";"2022-04-09 11:31:07";"3"
"WOS2204-0009";"3";NULL;"2022-04-12";"2022-04-11";"1";"2022-04-11 13:47:19";"3";"2022-04-11 13:50:50";"3"
"WOS2204-0010";"3";NULL;"2022-04-13";"2022-04-12";"1";"2022-04-12 09:17:47";"3";"2022-04-13 10:16:44";"3"
"WOS2204-0011";"3";NULL;"2022-04-14";"2022-04-13";"1";"2022-04-13 10:18:50";"3";"2022-04-13 10:18:50";"3"
"WOS2204-0012";"3";NULL;"2022-04-16";"2022-04-14";"1";"2022-04-14 09:53:08";"3";"2022-04-14 09:53:08";"3"
"WOS2204-0013";"3";NULL;"2022-04-18";"2022-04-16";"1";"2022-04-16 12:45:50";"3";"2022-04-18 10:19:23";"3"
"WOS2204-0014";"3";NULL;"2022-04-19";"2022-04-18";"1";"2022-04-18 10:22:37";"3";"2022-04-18 14:36:14";"3"
"WOS2204-0015";"3";NULL;"2022-04-20";"2022-04-19";"1";"2022-04-19 14:15:07";"3";"2022-04-19 14:15:07";"3"
"WOS2204-0016";"3";NULL;"2022-04-21";"2022-04-20";"1";"2022-04-20 14:31:56";"3";"2022-04-20 14:31:56";"3"
"WOS2204-0017";"3";NULL;"2022-04-22";"2022-04-21";"1";"2022-04-21 14:25:01";"3";"2022-04-21 14:25:01";"3"
"WOS2204-0018";"3";NULL;"2022-04-23";"2022-04-22";"1";"2022-04-22 14:26:17";"3";"2022-04-22 14:27:24";"3"
"WOS2204-0019";"3";NULL;"2022-04-25";"2022-04-23";"1";"2022-04-23 10:58:11";"3";"2022-04-23 10:58:11";"3"
"WOS2204-0020";"3";NULL;"2022-04-26";"2022-04-25";"1";"2022-04-25 10:12:30";"3";"2022-04-25 10:12:30";"3"
"WOS2204-0021";"3";NULL;"2022-04-27";"2022-04-26";"1";"2022-04-26 10:02:16";"3";"2022-04-26 10:02:16";"3"
"WOS2204-0022";"3";NULL;"2022-04-28";"2022-04-27";"1";"2022-04-27 09:22:26";"3";"2022-04-27 14:25:45";"3"
"WOS2204-0023";"3";NULL;"2022-04-29";"2022-04-28";"1";"2022-04-28 09:37:51";"3";"2022-04-28 09:37:51";"3"
"WOS2204-0024";"3";NULL;"2022-05-05";"2022-04-29";"1";"2022-04-29 09:24:39";"3";"2022-05-05 09:00:45";"3"
"WOS2204-0025";"3";NULL;"2022-05-05";"2022-04-29";"1";"2022-04-29 09:26:34";"3";"2022-04-29 09:26:34";"3"
"WOS2205-0001";"3";NULL;"2022-05-06";"2022-05-10";"1";"2022-05-10 10:51:29";"3";"2022-05-10 10:51:29";"3"
"WOS2205-0002";"3";NULL;"2022-05-09";"2022-05-10";"1";"2022-05-10 10:54:07";"3";"2022-05-11 13:27:56";"3"
"WOS2205-0003";"3";NULL;"2022-05-10";"2022-05-10";"1";"2022-05-10 11:01:39";"3";"2022-05-10 11:02:03";"3"
"WOS2205-0004";"3";NULL;"2022-05-11";"2022-05-11";"1";"2022-05-11 13:47:30";"3";"2022-05-11 13:56:11";"3"
"WOS2205-0005";"3";NULL;"2022-05-12";"2022-05-11";"1";"2022-05-11 14:07:02";"3";"2022-05-11 14:13:01";"3"
"WOS2205-0006";"3";NULL;"2022-05-13";"2022-05-12";"1";"2022-05-12 13:53:46";"3";"2022-05-12 13:53:46";"3"
"WOS2205-0007";"3";NULL;"2022-05-14";"2022-05-13";"1";"2022-05-13 13:52:28";"3";"2022-05-13 14:17:40";"3"
"WOS2205-0008";"3";NULL;"2022-05-14";"2022-05-13";"1";"2022-05-13 13:52:34";"3";"2022-05-13 13:52:34";"3"
"WOS2205-0009";"3";NULL;"2022-05-17";"2022-05-14";"1";"2022-05-14 13:23:36";"3";"2022-05-17 14:55:02";"3"
"WOS2205-0010";"3";NULL;"2022-05-18";"2022-05-17";"1";"2022-05-17 14:58:06";"3";"2022-05-17 15:04:39";"3"
"WOS2205-0011";"3";NULL;"2022-05-19";"2022-05-18";"1";"2022-05-18 16:13:25";"3";"2022-05-18 16:13:25";"3"
"WOS2205-0012";"3";NULL;"2022-05-20";"2022-05-19";"1";"2022-05-19 16:02:35";"3";"2022-05-19 16:13:16";"3"
"WOS2205-0013";"3";NULL;"2022-05-21";"2022-05-20";"1";"2022-05-20 14:39:54";"3";"2022-05-20 14:43:03";"3"
"WOS2205-0014";"3";NULL;"2022-05-23";"2022-05-21";"1";"2022-05-21 13:35:03";"3";"2022-05-24 10:35:05";"3"
"WOS2205-0017";"3";NULL;"2022-05-24";"2022-05-23";"1";"2022-05-23 14:49:26";"3";"2022-05-23 14:54:05";"3"
"WOS2205-0018";"3";NULL;"2022-05-25";"2022-05-24";"1";"2022-05-24 13:53:43";"3";"2022-05-24 13:56:29";"3"
"WOS2205-0019";"3";NULL;"2022-05-27";"2022-05-25";"1";"2022-05-25 11:50:48";"3";"2022-05-25 11:50:48";"3"
"WOS2205-0020";"3";NULL;"2022-05-28";"2022-05-27";"1";"2022-05-27 13:28:58";"3";"2022-05-27 13:33:00";"3"
"WOS2205-0021";"3";NULL;"2022-05-30";"2022-05-28";"1";"2022-05-28 11:38:22";"3";"2022-05-28 13:01:54";"3"
"WOS2205-0022";"3";NULL;"2022-05-31";"2022-05-30";"1";"2022-05-30 14:31:17";"3";"2022-05-30 14:39:13";"3"
"WOS2205-0023";"3";NULL;"2022-06-02";"2022-05-31";"1";"2022-05-31 13:07:50";"3";"2022-05-31 14:46:57";"3"
"WOS2206-0004";"3";NULL;"2022-06-03";"2022-06-02";"1";"2022-06-02 14:17:47";"3";"2022-06-02 14:17:47";"3"
"WOS2206-0005";"3";NULL;"2022-06-03";"2022-06-02";"1";"2022-06-02 14:22:15";"3";"2022-06-02 14:26:59";"3"
"WOS2206-0006";"3";NULL;"2022-06-04";"2022-06-03";"1";"2022-06-03 14:26:35";"3";"2022-06-03 14:27:17";"3"
"WOS2206-0007";"3";NULL;"2022-06-06";"2022-06-04";"1";"2022-06-04 13:31:57";"3";"2022-06-04 13:32:29";"3"
"WOS2206-0008";"3";NULL;"2022-06-07";"2022-06-06";"1";"2022-06-06 14:01:13";"3";"2022-06-06 14:01:13";"3"
"WOS2206-0009";"3";NULL;"2022-06-08";"2022-06-07";"1";"2022-06-07 15:41:13";"3";"2022-06-07 15:41:13";"3"
"WOS2206-0010";"3";NULL;"2022-06-09";"2022-06-08";"1";"2022-06-08 13:57:56";"3";"2022-06-08 14:04:40";"3"
"WOS2206-0011";"3";NULL;"2022-06-10";"2022-06-09";"1";"2022-06-09 15:25:36";"3";"2022-06-09 15:27:10";"3"
"WOS2206-0012";"3";NULL;"2022-06-11";"2022-06-10";"1";"2022-06-10 15:14:26";"3";"2022-06-10 15:17:40";"3"
"WOS2206-0013";"3";NULL;"2022-06-13";"2022-06-11";"1";"2022-06-11 13:47:50";"3";"2022-06-11 13:47:50";"3"
"WOS2206-0014";"3";NULL;"2022-06-14";"2022-06-13";"1";"2022-06-13 13:45:52";"3";"2022-06-13 13:45:52";"3"
"WOS2206-0015";"3";NULL;"2022-06-15";"2022-06-14";"1";"2022-06-14 13:57:50";"3";"2022-06-14 13:57:50";"3"
"WOS2206-0016";"3";NULL;"2022-06-16";"2022-06-15";"1";"2022-06-15 14:31:31";"3";"2022-06-15 14:32:15";"3"
"WOS2206-0017";"3";NULL;"2022-06-17";"2022-06-16";"1";"2022-06-16 14:48:11";"3";"2022-06-16 14:49:38";"3"
"WOS2206-0018";"3";NULL;"2022-06-18";"2022-06-17";"1";"2022-06-17 15:43:15";"3";"2022-06-17 15:43:15";"3"
"WOS2206-0019";"3";NULL;"2022-06-20";"2022-06-18";"1";"2022-06-18 13:02:20";"3";"2022-06-18 13:03:48";"3"
"WOS2206-0020";"3";NULL;"2022-06-21";"2022-06-20";"1";"2022-06-20 13:48:41";"3";"2022-06-20 13:48:41";"3"
"WOS2206-0021";"3";NULL;"2022-06-22";"2022-06-21";"1";"2022-06-21 13:50:45";"3";"2022-06-21 13:52:05";"3"
"WOS2206-0022";"3";NULL;"2022-06-23";"2022-06-22";"1";"2022-06-22 14:09:27";"3";"2022-06-22 14:13:04";"3"
"WOS2206-0023";"3";NULL;"2022-06-23";"2022-06-22";"1";"2022-06-22 14:09:31";"3";"2022-06-22 14:09:31";"3"
"WOS2206-0024";"3";NULL;"2022-06-24";"2022-06-23";"1";"2022-06-23 14:53:30";"3";"2022-06-23 15:03:38";"3"
"WOS2206-0025";"3";NULL;"2022-06-25";"2022-06-24";"1";"2022-06-24 14:11:18";"3";"2022-06-24 14:12:07";"3"
