"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2207-000346";"LHP2207-0040";"13:00:00";"5";"330";"800";"8000";"6755";"2.5";"7.92";"40";"47.17";"81.7";"91.6";"0.127";"0.007"
"LHPL2207-000347";"LHP2207-0040";"13:00:00";"6";"360";"500";"7000";"6936";"7";"6.16";"60";"40.27";"72";"86.2";"0.227";"0.005"
"LHPL2207-000348";"LHP2207-0040";"13:00:00";"8";"360";"800";"8000";"6773";"2.5";"6.67";"40";"45.39";"71.2";"85.9";"0.233";"0.057"
"LHPL2207-000349";"LHP2207-0040";"13:00:00";"10";"360";"500";"7000";"7147";"7";"5.86";"60";"31.88";"72";"86";"0.122";"0.006"
"LHPL2207-000350";"LHP2207-0041";"08:00:00";"1";"400";"1200";"11500";"11847";"1.7";"0";"30";"0";"81.9";"90.8";"0.245";"0.006"
"LHPL2207-000351";"LHP2207-0041";"08:00:00";"2";"380";"800";"8000";"9872";"2.5";"0";"40";"0";"82.1";"91.8";"0.219";"0.026"
"LHPL2207-000352";"LHP2207-0041";"08:00:00";"3";"430";"2000";"13500";"10910";"1.4";"0";"23";"0";"83.4";"92.2";"0.227";"0.067"
"LHPL2207-000353";"LHP2207-0041";"08:00:00";"4";"450";"800";"8000";"7519";"2.5";"0";"40";"0";"82.8";"92";"0.206";"0.005"
"LHPL2207-000354";"LHP2207-0041";"08:00:00";"5";"330";"500";"7000";"6990";"7";"0";"60";"0";"81.6";"91.2";"0.153";"0.013"
"LHPL2207-000355";"LHP2207-0041";"08:00:00";"6";"360";"500";"7000";"6512";"7";"0";"60";"0";"67.6";"83.2";"0.374";"0.01"
"LHPL2207-000356";"LHP2207-0041";"08:00:00";"8";"360";"800";"8000";"7007";"2.5";"0";"40";"0";"72.8";"86.7";"0.286";"0.082"
"LHPL2207-000357";"LHP2207-0041";"08:00:00";"9";"370";"500";"7000";"7336";"7";"0";"60";"0";"69.8";"84.9";"0.214";"0.037"
"LHPL2207-000358";"LHP2207-0041";"08:00:00";"10";"360";"500";"7000";"6882";"7";"0";"60";"0";"71.3";"85.3";"0.224";"0.05"
"LHPL2207-000359";"LHP2207-0042";"08:00:00";"1";"400";"800";"8000";"10290";"2.5";"0";"40";"0";"82.3";"90.4";"0.528";"0.247"
"LHPL2207-000360";"LHP2207-0042";"08:00:00";"2";"380";"6000";"14000";"9540";"1.2";"0";"21";"0";"82.1";"91.1";"0.2";"0.033"
"LHPL2207-000361";"LHP2207-0042";"08:00:00";"3";"430";"1200";"11500";"9947";"1.7";"0";"30";"0";"81.6";"90.1";"0.276";"0.026"
"LHPL2207-000362";"LHP2207-0042";"08:00:00";"4";"450";"800";"8000";"7683";"2.5";"0";"40";"0";"80.8";"90.2";"0.179";"0.009"
"LHPL2207-000363";"LHP2207-0042";"08:00:00";"5";"330";"800";"8000";"6864";"2.5";"0";"40";"0";"82.4";"91.8";"0.128";"0.007"
"LHPL2207-000364";"LHP2207-0042";"08:00:00";"6";"360";"500";"7000";"5892";"7";"0";"60";"0";"69.7";"84.4";"0.623";"0.006"
"LHPL2207-000365";"LHP2207-0042";"08:00:00";"7";"360";"500";"7000";"7025";"7";"0";"60";"0";"71.1";"84.7";"0.239";"0.02"
"LHPL2207-000366";"LHP2207-0042";"08:00:00";"8";"360";"800";"8000";"6644";"2.5";"0";"40";"0";"68.4";"82.9";"0.336";"0.057"
"LHPL2207-000367";"LHP2207-0042";"08:00:00";"9";"370";"500";"7000";"7453";"7";"0";"60";"0";"72.3";"86.1";"0.233";"0.014"
"LHPL2207-000368";"LHP2207-0042";"08:00:00";"10";"360";"500";"7000";"7403";"7";"0";"60";"0";"71.5";"84.8";"0.186";"0.005"
"LHPL2207-000369";"LHP2207-0043";"13:00:00";"1";"400";"1200";"11500";"11847";"1.7";"0";"30";"0";"85.5";"92.6";"0.145";"0.01"
"LHPL2207-000370";"LHP2207-0043";"13:00:00";"2";"380";"800";"8000";"9872";"2.5";"0";"40";"0";"81.8";"90.9";"0.178";"0.02"
"LHPL2207-000371";"LHP2207-0043";"13:00:00";"3";"430";"1200";"11500";"12127";"1.7";"0";"30";"0";"83.4";"91.1";"0.2";"0.03"
"LHPL2207-000372";"LHP2207-0043";"13:00:00";"4";"450";"800";"8000";"7519";"2.5";"0";"40";"0";"79.8";"89.1";"0.2";"0.01"
"LHPL2207-000373";"LHP2207-0043";"13:00:00";"5";"380";"800";"8000";"7165";"2.5";"0";"40";"0";"80.6";"89.8";"0.154";"0.01"
"LHPL2207-000374";"LHP2207-0043";"13:00:00";"6";"360";"500";"7000";"6512";"7";"0";"60";"0";"70.3";"84.9";"0.363";"0.01"
"LHPL2207-000375";"LHP2207-0043";"13:00:00";"8";"360";"800";"8000";"7007";"2.5";"0";"40";"0";"68.1";"82.8";"0.33";"0.05"
"LHPL2207-000376";"LHP2207-0043";"13:00:00";"9";"370";"800";"8000";"7519";"2.5";"0";"40";"0";"72.1";"85.6";"0.25";"0.01"
"LHPL2207-000377";"LHP2207-0043";"13:00:00";"10";"360";"500";"7000";"6882";"7";"0";"60";"0";"68.9";"83.7";"0.317";"0.07"
"LHPL2207-000378";"LHP2207-0044";"13:00:00";"1";"400";"800";"8000";"10290";"2.5";"0";"40";"0";"84.5";"92";"0.201";"0.006"
"LHPL2207-000379";"LHP2207-0044";"13:00:00";"2";"380";"1200";"11500";"8392";"1.7";"0";"30";"0";"82.9";"91.3";"0.261";"0.039"
"LHPL2207-000380";"LHP2207-0044";"13:00:00";"3";"430";"800";"8000";"11826";"2.5";"0";"40";"0";"83.2";"91";"0.154";"0.005"
"LHPL2207-000381";"LHP2207-0044";"13:00:00";"4";"450";"800";"8000";"7683";"2.5";"0";"40";"0";"80.4";"89.3";"0.18";"0.005"
"LHPL2207-000382";"LHP2207-0044";"13:00:00";"5";"330";"800";"8000";"6864";"2.5";"0";"40";"0";"81.9";"90.7";"0.115";"0.008"
"LHPL2207-000383";"LHP2207-0044";"13:00:00";"6";"360";"500";"7000";"5892";"7";"0";"60";"0";"71.4";"85.2";"0.332";"0.005"
"LHPL2207-000384";"LHP2207-0044";"13:00:00";"7";"360";"500";"7000";"7025";"7";"0";"60";"0";"71.2";"84.7";"0.247";"0.007"
"LHPL2207-000385";"LHP2207-0044";"13:00:00";"8";"360";"500";"7000";"7025";"7";"0";"60";"0";"71.5";"85.1";"0.319";"0.03"
"LHPL2207-000386";"LHP2207-0044";"13:00:00";"10";"360";"500";"7000";"7403";"7";"0";"60";"0";"72.7";"85.6";"0.257";"0.006"
"LHPL2207-000387";"LHP2207-0045";"08:00:00";"1";"400";"800";"8000";"11290";"2.5";"0";"40";"0";"85.8";"92.6";"0.256";"0.005"
"LHPL2207-000388";"LHP2207-0045";"08:00:00";"2";"380";"1200";"11500";"8810";"1.7";"0";"30";"0";"78.2";"88.7";"0.303";"0.04"
"LHPL2207-000389";"LHP2207-0045";"08:00:00";"3";"430";"1200";"11500";"11583";"1.7";"0";"30";"0";"81.2";"90.5";"0.229";"0.033"
"LHPL2207-000390";"LHP2207-0045";"08:00:00";"4";"450";"800";"8000";"7921";"2.5";"0";"40";"0";"82.4";"91";"0.197";"0.006"
"LHPL2207-000391";"LHP2207-0045";"08:00:00";"5";"330";"800";"8000";"7078";"2.5";"0";"40";"0";"81";"90.5";"0.141";"0.187"
"LHPL2207-000392";"LHP2207-0045";"08:00:00";"6";"360";"500";"7000";"6828";"7";"0";"60";"0";"70.7";"85";"0.517";"0.027"
"LHPL2207-000393";"LHP2207-0045";"08:00:00";"7";"360";"500";"7000";"6718";"7";"0";"60";"0";"70.2";"84.6";"0.386";"0.011"
"LHPL2207-000394";"LHP2207-0045";"08:00:00";"8";"360";"500";"7000";"6079";"7";"0";"60";"0";"68.7";"83.8";"0.804";"0.481"
"LHPL2207-000395";"LHP2207-0045";"08:00:00";"9";"370";"500";"7000";"6700";"7";"0";"60";"0";"70.6";"85.1";"0.26";"0.028"
"LHPL2207-000396";"LHP2207-0045";"08:00:00";"10";"360";"500";"7000";"6828";"7";"0";"60";"0";"71.7";"84.4";"0.39";"0.005"
"LHPL2207-000397";"LHP2207-0046";"13:00:00";"1";"400";"800";"8000";"11290";"2.5";"0";"40";"0";"85.7";"92.7";"0.243";"0.008"
"LHPL2207-000398";"LHP2207-0046";"13:00:00";"2";"380";"1200";"11500";"8810";"1.7";"0";"30";"0";"78.2";"89";"0.234";"0.018"
"LHPL2207-000399";"LHP2207-0046";"13:00:00";"3";"430";"1200";"11500";"11583";"1.7";"0";"30";"0";"83.2";"91.6";"0.283";"0.028"
"LHPL2207-000400";"LHP2207-0046";"13:00:00";"4";"450";"800";"8000";"7921";"2.5";"0";"40";"0";"80";"89.6";"0.305";"0.005"
"LHPL2207-000401";"LHP2207-0046";"13:00:00";"5";"430";"800";"8000";"7078";"2.5";"0";"40";"0";"78.5";"88.3";"0.206";"0.005"
"LHPL2207-000402";"LHP2207-0046";"13:00:00";"6";"360";"500";"7000";"6828";"7";"0";"60";"0";"68.4";"83.3";"0.433";"0.005"
"LHPL2207-000403";"LHP2207-0046";"13:00:00";"7";"360";"500";"7000";"6718";"7";"0";"60";"0";"69";"83.3";"0.375";"0.006"
"LHPL2207-000404";"LHP2207-0046";"13:00:00";"8";"360";"800";"8000";"7043";"2.5";"0";"40";"0";"70";"84.6";"0.528";"0.234"
"LHPL2207-000405";"LHP2207-0046";"13:00:00";"10";"360";"500";"7000";"6828";"7";"0";"60";"0";"71.7";"85.2";"0.312";"0.007"
"LHPL2208-000001";"LHP2208-0001";"08:00:00";"1";"400";"800";"8000";"11972";"2.5";"0";"40";"0";"86.4";"93.3";"0.195";"0.012"
"LHPL2208-000002";"LHP2208-0001";"08:00:00";"2";"380";"1200";"11500";"9922";"1.7";"0";"30";"0";"83.6";"91.9";"0.275";"0.064"
"LHPL2208-000003";"LHP2208-0001";"08:00:00";"3";"430";"6000";"14000";"10762";"1.2";"0";"21";"0";"82.9";"91.2";"0.107";"0.009"
"LHPL2208-000004";"LHP2208-0001";"08:00:00";"4";"450";"800";"8000";"7095";"2.5";"0";"40";"0";"76.9";"87.8";"0.255";"0.085"
"LHPL2208-000005";"LHP2208-0001";"08:00:00";"5";"330";"500";"7000";"7699";"7";"0";"60";"0";"81.3";"90.3";"0.165";"0.015"
"LHPL2208-000006";"LHP2208-0001";"08:00:00";"6";"360";"500";"7000";"5786";"7";"0";"60";"0";"69.2";"83.9";"0.775";"0.014"
"LHPL2208-000007";"LHP2208-0001";"08:00:00";"7";"360";"500";"7000";"7060";"7";"0";"60";"0";"69.6";"84.1";"0.324";"0.012"
"LHPL2208-000008";"LHP2208-0001";"08:00:00";"8";"360";"500";"7000";"5913";"7";"0";"60";"0";"69.5";"84.2";"0.693";"0.036"
"LHPL2208-000009";"LHP2208-0001";"08:00:00";"9";"370";"500";"7000";"7370";"7";"0";"60";"0";"69.9";"84.4";"0.303";"0.005"
"LHPL2208-000010";"LHP2208-0002";"13:00:00";"1";"400";"1200";"11500";"11594";"1.7";"0";"30";"0";"86";"93";"0.196";"0.006"
"LHPL2208-000011";"LHP2208-0002";"13:00:00";"2";"380";"1200";"11500";"11972";"1.7";"0";"30";"0";"81.1";"90.4";"0.2";"0.054"
"LHPL2208-000012";"LHP2208-0002";"13:00:00";"3";"430";"1200";"11500";"11023";"1.7";"0";"30";"0";"80.6";"89.6";"0.27";"0.094"
"LHPL2208-000013";"LHP2208-0002";"13:00:00";"4";"450";"800";"8000";"7095";"2.5";"0";"40";"0";"80";"88.5";"1.516";"0.023"
"LHPL2208-000014";"LHP2208-0002";"13:00:00";"5";"330";"800";"8000";"8363";"2.5";"0";"40";"0";"83.7";"92.2";"0.156";"0.01"
"LHPL2208-000015";"LHP2208-0002";"13:00:00";"6";"360";"500";"7000";"5786";"7";"0";"60";"0";"68.4";"83.1";"1.323";"0.116"
"LHPL2208-000016";"LHP2208-0002";"13:00:00";"7";"360";"500";"7000";"7060";"7";"0";"60";"0";"70.7";"84.6";"0.24";"0.005"
"LHPL2208-000017";"LHP2208-0002";"13:00:00";"8";"360";"800";"8000";"7552";"2.5";"0";"40";"0";"71.2";"85.4";"0.405";"0.022"
"LHPL2208-000018";"LHP2208-0002";"13:00:00";"9";"370";"500";"7000";"7370";"7";"0";"60";"0";"71.1";"84.8";"0.243";"0.057"
"LHPL2208-000019";"LHP2208-0002";"13:00:00";"10";"250";"250";"2500";"6377";"9";"0";"125";"0";"70.4";"85.4";"0.339";"0.184"
"LHPL2208-000020";"LHP2208-0003";"08:00:00";"1";"400";"1200";"11500";"11826";"1.7";"0";"30";"0";"85.2";"92.5";"0.273";"0.124"
"LHPL2208-000021";"LHP2208-0003";"08:00:00";"2";"380";"1200";"11500";"9169";"1.7";"0";"30";"0";"84.4";"92.1";"0.317";"0.017"
"LHPL2208-000022";"LHP2208-0003";"08:00:00";"3";"430";"1200";"11500";"11091";"1.7";"0";"30";"0";"83.2";"91.3";"0.221";"0.059"
"LHPL2208-000023";"LHP2208-0003";"08:00:00";"4";"450";"800";"8000";"6990";"2.5";"0";"40";"0";"81.9";"90.6";"0.848";"0.052"
"LHPL2208-000024";"LHP2208-0003";"08:00:00";"5";"330";"500";"7000";"7519";"7";"0";"60";"0";"82.1";"90.5";"0.197";"0.005"
"LHPL2208-000025";"LHP2208-0003";"08:00:00";"6";"360";"500";"7000";"6474";"7";"0";"60";"0";"70.3";"84.4";"0.392";"0.008"
"LHPL2208-000026";"LHP2208-0003";"08:00:00";"7";"360";"500";"7000";"7078";"7";"0";"60";"0";"71.2";"85.5";"0.166";"0.008"
"LHPL2208-000027";"LHP2208-0003";"08:00:00";"8";"360";"500";"7000";"6737";"7";"0";"60";"0";"69.1";"83.6";"0.417";"0.103"
"LHPL2208-000028";"LHP2208-0003";"08:00:00";"9";"360";"800";"8000";"4344";"2.5";"0";"40";"0";"71.8";"85.2";"0.165";"0.009"
"LHPL2208-000029";"LHP2208-0003";"08:00:00";"10";"360";"500";"7000";"7165";"7";"0";"60";"0";"70.7";"84.2";"0.136";"0.001"
"LHPL2208-000030";"LHP2208-0004";"13:00:00";"4";"450";"800";"8000";"6990";"2.5";"0";"40";"0";"82.3";"91.2";"0.455";"0.005"
"LHPL2208-000031";"LHP2208-0004";"13:00:00";"5";"330";"800";"8000";"7113";"2.5";"0";"40";"0";"79.6";"89.4";"0.196";"0.005"
"LHPL2208-000032";"LHP2208-0004";"13:00:00";"6";"360";"500";"7000";"6474";"7";"0";"60";"0";"70.8";"85.3";"0.404";"0.005"
"LHPL2208-000033";"LHP2208-0004";"13:00:00";"7";"360";"500";"7000";"7078";"7";"0";"60";"0";"72";"86.1";"0.316";"0.044"
"LHPL2208-000034";"LHP2208-0004";"13:00:00";"8";"360";"800";"8000";"6625";"2.5";"0";"40";"0";"70.8";"85.1";"0.386";"0.072"
"LHPL2208-000035";"LHP2208-0004";"13:00:00";"9";"370";"800";"8000";"4344";"2.5";"0";"40";"0";"71.3";"85.3";"0.242";"0.038"
"LHPL2208-000036";"LHP2208-0004";"13:00:00";"10";"360";"500";"7000";"7165";"7";"0";"60";"0";"69.8";"83.7";"0.28";"0.005"
"LHPL2208-000037";"LHP2208-0005";"08:00:00";"4";"450";"800";"8000";"7078";"2.5";"0";"40";"0";"81";"90.5";"0.345";"0.115"
"LHPL2208-000038";"LHP2208-0005";"08:00:00";"5";"330";"800";"8000";"7199";"2.5";"0";"40";"0";"81.1";"90.2";"0.149";"0.021"
"LHPL2208-000039";"LHP2208-0005";"08:00:00";"6";"325";"325";"5500";"5892";"8.5";"0";"75";"0";"70.6";"85.7";"0.529";"0.012"
"LHPL2208-000040";"LHP2208-0005";"08:00:00";"7";"360";"800";"8000";"6936";"2.5";"0";"40";"0";"72.5";"87.3";"0.288";"0.057"
"LHPL2208-000041";"LHP2208-0005";"08:00:00";"8";"360";"800";"8000";"6773";"2.5";"0";"40";"0";"72";"86";"0.368";"0.005"
"LHPL2208-000042";"LHP2208-0005";"08:00:00";"9";"370";"800";"8000";"6882";"2.5";"0";"40";"0";"69.8";"84.2";"0.214";"0.005"
"LHPL2208-000043";"LHP2208-0005";"08:00:00";"10";"360";"500";"7000";"7403";"7";"0";"60";"0";"73.2";"86.8";"0.182";"0.012"
"LHPL2208-000044";"LHP2208-0006";"13:00:00";"1";NULL;"1200";"11500";"12106";"1.7";"0";"30";"0";"86.1";"93.2";"0.27";"0.006"
"LHPL2208-000045";"LHP2208-0006";"13:00:00";"3";NULL;"1200";"11500";"10763";"1.7";"0";"30";"0";"84";"92.9";"0.254";"0.113"
"LHPL2208-000046";"LHP2208-0006";"13:00:00";"4";NULL;"800";"8000";NULL;"2.5";"0";"40";"0";"83.2";"93.3";"0.377";"0.017"
"LHPL2208-000047";"LHP2208-0006";"13:00:00";"5";NULL;"800";"8000";NULL;"2.5";"0";"40";"0";"82.2";"91.9";"0.18";"0.005"
"LHPL2208-000048";"LHP2208-0006";"13:00:00";"6";NULL;"500";"7000";"6435";"7";"0";"60";"0";"73.3";"86.7";"0.359";"0.018"
"LHPL2208-000049";"LHP2208-0006";"13:00:00";"7";NULL;"500";"7000";NULL;"7";"0";"60";"0";"76.9";"88.8";"0.193";"0.005"
"LHPL2208-000050";"LHP2208-0006";"13:00:00";"9";NULL;"800";"8000";NULL;"2.5";"0";"40";"0";"75";"88";"0.236";"0.041"
"LHPL2208-000051";"LHP2208-0006";"13:00:00";"10";NULL;"800";"8000";"7078";"2.5";"0";"40";"0";"75.4";"87.5";"0.202";"0.005"
"LHPL2208-000052";"LHP2208-0007";"08:00:00";"1";"400";"1200";"11500";"11795";"1.7";"0";"30";"0";"85";"92.2";"0.2";"0.005"
"LHPL2208-000053";"LHP2208-0007";"08:00:00";"2";"380";"1200";"11500";"6260";"1.7";"0";"30";"0";"79.6";"89.3";"1.362";"0.179"
"LHPL2208-000054";"LHP2208-0007";"08:00:00";"3";"430";"1500";"12000";"10096";"1.6";"0";"25";"0";"84.6";"92.5";"0.325";"0.059"
"LHPL2208-000055";"LHP2208-0007";"08:00:00";"4";"450";"800";"8000";"7353";"2.5";"0";"40";"0";"80.1";"90.4";"0.323";"0.025"
"LHPL2208-000056";"LHP2208-0007";"08:00:00";"5";"330";"800";"8000";"8076";"2.5";"0";"40";"0";"83.7";"92.2";"0.158";"0.017"
"LHPL2208-000057";"LHP2208-0007";"08:00:00";"6";"360";"800";"8000";"6260";"2.5";"0";"40";"0";"72.6";"85.9";"0.319";"0.009"
"LHPL2208-000058";"LHP2208-0007";"08:00:00";"7";"360";"800";"8000";"6569";"2.5";"0";"40";"0";"74.2";"87.1";"0.316";"0.005"
"LHPL2208-000059";"LHP2208-0007";"08:00:00";"8";"360";"500";"7000";"6625";"7";"0";"60";"0";"72";"86.4";"0.458";"0.018"
"LHPL2208-000060";"LHP2208-0007";"08:00:00";"9";"370";"500";"7000";"6918";"7";"0";"60";"0";"73.6";"87.4";"0.224";"0.037"
"LHPL2208-000061";"LHP2208-0007";"08:00:00";"10";"360";"500";"7000";"7007";"7";"0";"60";"0";"74.9";"87.5";"0.188";"0.005"
"LHPL2208-000062";"LHP2208-0008";"13:00:00";"1";"400";"1200";"11500";"11795";"1.7";"0";"30";"0";"86.9";"93.1";"0.248";"0.005"
"LHPL2208-000063";"LHP2208-0008";"13:00:00";"3";"430";"1500";"12000";"10096";"1.6";"0";"25";"0";"85.2";"92.8";"0.391";"0.005"
"LHPL2208-000064";"LHP2208-0008";"13:00:00";"4";"450";"800";"8000";"7353";"2.5";"0";"40";"0";"79.7";"89.2";"0.177";"0.008"
"LHPL2208-000065";"LHP2208-0008";"13:00:00";"5";"330";"800";"8000";"8076";"2.5";"0";"40";"0";"82.2";"90.8";"0.156";"0.033"
"LHPL2208-000066";"LHP2208-0008";"13:00:00";"6";"250";"250";"2500";"6279";"9";"0";"125";"0";"69.7";"84.6";"0.403";"1.664"
"LHPL2208-000067";"LHP2208-0008";"13:00:00";"7";"250";"250";"2500";"6058";"9";"0";"125";"0";"69.5";"85";"0.498";"10.376"
"LHPL2208-000068";"LHP2208-0008";"13:00:00";"8";"360";"800";"8000";"6773";"2.5";"0";"40";"0";"72.1";"86.2";"0.282";"0.016"
"LHPL2208-000069";"LHP2208-0008";"13:00:00";"9";"370";"500";"7000";"6918";"7";"0";"60";"0";"72.2";"85.8";"0.18";"0.009"
"LHPL2208-000070";"LHP2208-0008";"13:00:00";"10";"360";"500";"7000";"7007";"7";"0";"60";"0";"72.6";"85.9";"0.111";"0.005"
"LHPL2208-000071";"LHP2208-0009";"08:00:00";"1";"400";"2000";"13500";"12168";"1.4";"0";"23";"0";"87.7";"93.9";"0.194";"0.014"
"LHPL2208-000072";"LHP2208-0009";"08:00:00";"2";"380";"1200";"11500";"9330";"1.7";"0";"30";"0";"82.8";"90.8";"0.185";"0.016"
"LHPL2208-000073";"LHP2208-0009";"08:00:00";"3";"430";"1500";"12000";"10505";"1.6";"0";"25";"0";"83.5";"91.5";"0.16";"0.121"
"LHPL2208-000074";"LHP2208-0009";"08:00:00";"4";"450";"800";"8000";"7905";"2.5";"0";"40";"0";"80.1";"89.5";"0.162";"0.005"
"LHPL2208-000075";"LHP2208-0009";"08:00:00";"5";"330";"500";"7000";"6493";"7";"0";"60";"0";"81.7";"90.7";"0.119";"0.005"
"LHPL2208-000076";"LHP2208-0009";"08:00:00";"6";"360";"500";"7000";"6569";"7";"0";"60";"0";"70.8";"84.8";"0.383";"0.005"
"LHPL2208-000077";"LHP2208-0009";"08:00:00";"7";"360";"500";"7000";"6737";"7";"0";"60";"0";"69.6";"84.3";"0.241";"0.006"
"LHPL2208-000078";"LHP2208-0009";"08:00:00";"9";"370";"800";"8000";"6900";"2.5";"0";"40";"0";"68.7";"83.4";"0.175";"0.005"
"LHPL2208-000079";"LHP2208-0009";"08:00:00";"10";"360";"500";"7000";"7234";"7";"0";"60";"0";"73.2";"86.4";"0.202";"0.011"
"LHPL2208-000080";"LHP2208-0010";"13:00:00";"1";"400";"2000";"13500";"12168";"1.4";"0";"23";"0";"85.4";"93.3";"0.16";"0.009"
"LHPL2208-000081";"LHP2208-0010";"13:00:00";"2";"380";"1200";"11500";"9330";"1.7";"0";"30";"0";"82";"91.1";"0.163";"0.043"
"LHPL2208-000082";"LHP2208-0010";"13:00:00";"3";"430";"2000";"13500";"9822";"1.4";"0";"23";"0";"82.8";"91";"0.144";"0.033"
"LHPL2208-000083";"LHP2208-0010";"13:00:00";"4";"450";"800";"8000";"7905";"2.5";"0";"40";"0";"80";"89.9";"0.139";"0.005"
"LHPL2208-000084";"LHP2208-0010";"13:00:00";"5";"330";"800";"8000";"5871";"2.5";"0";"40";"0";"78.7";"89.6";"0.104";"0.005"
"LHPL2208-000085";"LHP2208-0010";"13:00:00";"6";"360";"500";"7000";"6569";"7";"0";"60";"0";"71.2";"85.6";"0.29";"0.005"
"LHPL2208-000086";"LHP2208-0010";"13:00:00";"7";"360";"500";"7000";"6737";"7";"0";"60";"0";"70.4";"84.6";"0.422";"0.224"
"LHPL2208-000087";"LHP2208-0010";"13:00:00";"9";"370";"800";"8000";"6900";"2.5";"0";"40";"0";"72";"85.8";"0.167";"0.018"
"LHPL2208-000088";"LHP2208-0010";"13:00:00";"10";"360";"500";"7000";"7234";"7";"0";"60";"0";"70.4";"84.3";"0.201";"0.005"
"LHPL2208-000089";"LHP2208-0011";"08:00:00";"1";"400";"2000";"13500";"9263";"1.4";"0";"23";"0";"83";"91.3";"0.355";"0.028"
"LHPL2208-000090";"LHP2208-0011";"08:00:00";"2";"380";"1200";"11500";"8740";"1.7";"0";"30";"0";"84";"92.3";"0.189";"0.055"
"LHPL2208-000091";"LHP2208-0011";"08:00:00";"3";"430";"2000";"13500";"9972";"1.4";"0";"23";"0";"82.2";"90.6";"0.203";"0.037"
"LHPL2208-000092";"LHP2208-0011";"08:00:00";"4";"430";"800";"8000";"7025";"2.5";"0";"40";"0";"80.2";"89.6";"0.181";"0.037"
"LHPL2208-000093";"LHP2208-0011";"08:00:00";"5";"315";"500";"7000";"6663";"7";"0";"60";"0";"81.1";"90.5";"0.161";"0.028"
"LHPL2208-000094";"LHP2208-0011";"08:00:00";"6";"360";"500";"7000";"6319";"7";"0";"60";"0";"68.4";"83.1";"0.626";"0.017"
"LHPL2208-000095";"LHP2208-0011";"08:00:00";"7";"360";"500";"7000";"6792";"7";"0";"60";"0";"72.1";"85.6";"0.27";"0.006"
"LHPL2208-000096";"LHP2208-0011";"08:00:00";"9";"370";"800";"8000";"6954";"2.5";"0";"40";"0";"72.3";"86.4";"0.202";"0.045"
"LHPL2208-000097";"LHP2208-0011";"08:00:00";"10";"360";"500";"7000";"7234";"7";"0";"60";"0";"73.2";"86.7";"0.213";"0.006"
"LHPL2208-000098";"LHP2208-0012";"10:00:00";"1";"400";"2000";"13500";"9263";"1.4";"0";"23";"0";"83.2";"91.4";"0.275";"0.012"
"LHPL2208-000099";"LHP2208-0012";"10:00:00";"2";"380";"1200";"11500";"8740";"1.7";"0";"30";"0";"81.2";"90.1";"0.233";"0.025"
"LHPL2208-000100";"LHP2208-0012";"10:00:00";"3";"430";"2000";"13500";"9972";"1.4";"0";"23";"0";"80";"89.5";"0.188";"0.117"
"LHPL2208-000101";"LHP2208-0012";"10:00:00";"4";"430";"800";"8000";"7025";"2.5";"0";"40";"0";"79.7";"90";"0.209";"0.063"
"LHPL2208-000102";"LHP2208-0012";"10:00:00";"5";"315";"500";"7000";"6663";"7";"0";"60";"0";"79.9";"90.1";"0.164";"0.014"
"LHPL2208-000103";"LHP2208-0012";"10:00:00";"6";"360";"500";"7000";"6319";"7";"0";"60";"0";"70";"84.7";"0.396";"0.005"
"LHPL2208-000104";"LHP2208-0012";"10:00:00";"7";"360";"500";"7000";"6792";"7";"0";"60";"0";"71.4";"86";"0.262";"0.005"
"LHPL2208-000105";"LHP2208-0012";"10:00:00";"9";"370";"800";"8000";"6954";"2.5";"0";"40";"0";"71.7";"85.3";"0.182";"0.005"
"LHPL2208-000106";"LHP2208-0012";"10:00:00";"10";"360";"500";"7000";"7234";"7";"0";"60";"0";"72.3";"85.7";"0.194";"0.005"
"LHPL2208-000107";"LHP2208-0013";"08:00:00";"1";"400";"2000";"13500";"11443";"1.4";"0";"23";"0";"84.6";"92.2";"0.17";"0.007"
"LHPL2208-000108";"LHP2208-0013";"08:00:00";"2";"380";"1200";"11500";"9290";"1.7";"0";"30";"0";"82.1";"91.3";"0.218";"0.029"
"LHPL2208-000109";"LHP2208-0013";"08:00:00";"3";"430";"1200";"11500";"10434";"1.7";"0";"30";"0";"82.3";"90.9";"0.259";"0.039"
"LHPL2208-000110";"LHP2208-0013";"08:00:00";"4";"430";"800";"8000";"7182";"2.5";"0";"40";"0";"82.9";"91.7";"0.183";"0.013"
"LHPL2208-000111";"LHP2208-0013";"08:00:00";"5";"315";"800";"8000";"7147";"2.5";"0";"40";"0";"80.2";"89.6";"0.138";"0.387"
"LHPL2208-000112";"LHP2208-0013";"08:00:00";"6";"360";"500";"7000";"6119";"7";"0";"60";"0";"70.2";"84.9";"0.557";"0.049"
"LHPL2208-000113";"LHP2208-0013";"08:00:00";"7";"360";"500";"7000";"6882";"7";"0";"60";"0";"70.5";"84";"0.205";"0.005"
"LHPL2208-000114";"LHP2208-0013";"08:00:00";"9";"370";"800";"8000";"6512";"2.5";"0";"40";"0";"72.1";"85.6";"0.143";"0.029"
"LHPL2208-000115";"LHP2208-0013";"08:00:00";"10";"360";"500";"7000";"7453";"7";"0";"60";"0";"72.4";"86";"0.226";"0.005"
